"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099208","005","425232",16,1,57
"099208","005","425233",30,5,95
"099208","005","425239",168,28,2670
"099209","005","425232",39,1,183
"099209","005","425233",82,6,220
"099209","005","425239",602,41,14686
"099210","005","425233",40,6,84
"099210","005","425239",117,15,5667
"099211","005","425232",76,1,458
"099211","005","425233",100,5,181
"099211","005","425239",580,41,10047
"099212","005","425231",1,1,5
"099212","005","425232",37,1,94
"099212","005","425233",29,3,55
"099212","005","425239",200,22,3276
"099213","005","425232",6,1,63
"099213","005","425233",47,6,144
"099213","005","425239",249,37,5471
"099214","005","425232",10,1,111
"099214","005","425233",113,10,452
"099214","005","425239",2108,65,17509
"099215","005","425232",7,1,31
"099215","005","425233",54,5,271
"099215","005","425239",235,28,6883
"099216","005","425232",44,1,66
"099216","005","425233",56,6,69
"099216","005","425239",369,39,2933
"099217","005","425232",24,1,56
"099217","005","425233",22,5,51
"099217","005","425239",134,26,2203
"099218","005","425232",9,1,39
"099218","005","425233",58,13,244
"099218","005","425239",298,64,11452
"099219","005","425912",2,1,0
"099220","005","425231",8,1,178
"099220","005","425232",19,1,173
"099220","005","425233",117,8,423
"099220","005","425239",475,46,8296
"099220","005","425912",8,1,1
"099221","005","425232",44,1,92
"099221","005","425233",64,5,76
"099221","005","425239",482,33,2966
"099222","005","425232",29,1,46
"099222","005","425233",37,4,47
"099222","005","425239",258,28,3401
"099224","005","425232",13,1,146
"099224","005","425233",89,5,238
"099224","005","425239",493,32,8790
"099225","005","425239",83,2,179
"099226","005","425231",24,1,1107
"099226","005","425232",48,1,280
"099226","005","425233",198,11,774
"099226","005","425239",1194,63,17618
"099227","005","425231",14,1,2635
"099227","005","425232",14,1,86
"099227","005","425233",34,4,179
"099227","005","425239",80,7,5322
"099228","005","425232",68,1,251
"099228","005","425233",107,7,279
"099228","005","425239",557,38,9259
"099229","005","425232",1,1,2
"099229","005","425233",35,6,170
"099229","005","425239",213,34,9015
"099230","005","425131",1,1,1
"099231","005","425232",12,1,53
"099231","005","425233",25,5,132
"099231","005","425239",127,35,4789
"099232","005","425231",1,1,1
"099232","005","425232",14,1,69
"099232","005","425233",28,5,85
"099232","005","425239",147,32,107001
"099233","005","425231",1,1,1
"099233","005","425232",50,1,62
"099233","005","425233",49,7,60
"099233","005","425239",1416,36,5535
"099234","005","425232",180,1,181
"099234","005","425233",109,6,175
"099234","005","425239",1718,37,9176
"099235","005","425231",1,1,1
"099235","005","425232",136,1,164
"099235","005","425233",98,6,142
"099235","005","425239",1764,30,6242
"099236","005","425233",202,7,664
"099236","005","425239",3326,44,21799
"099237","005","425232",9,1,15
"099237","005","425233",44,4,192
"099237","005","425239",180,27,1230
"099238","005","425233",50,7,74
"099238","005","425239",137,13,3219
"099239","005","425232",168,1,918
"099239","005","425233",170,11,1089
"099239","005","425239",1253,55,24998
"099240","005","425232",60,1,128
"099240","005","425233",104,4,427
"099240","005","425239",559,31,10207
"099241","005","425232",74,1,76
"099241","005","425233",119,4,123
"099241","005","425239",669,28,4043
"099242","005","425232",55,1,117
"099242","005","425233",70,4,107
"099242","005","425239",304,29,5316
"099243","005","425232",39,1,327
"099243","005","425233",75,6,471
"099243","005","425239",411,38,10200
"099245","005","425232",6,1,36
"099245","005","425233",45,5,110
"099245","005","425239",306,33,2943
"099246","005","425231",4,1,7
"099246","005","425232",156,1,462
"099246","005","425233",204,11,378
"099246","005","425239",1171,54,20475
"099247","005","425231",2,1,2
"099247","005","425232",10,1,11
"099247","005","425233",100,6,145
"099247","005","425239",981,27,3948
"099248","005","425232",9,1,32
"099248","005","425233",11,3,44
"099248","005","425239",82,24,2388
"099249","005","425231",67,1,735
"099249","005","425232",32,1,44
"099249","005","425233",41,4,56
"099249","005","425239",237,28,2654
"099249","005","425764",2,1,0
"099250","005","425232",23,1,70
"099250","005","425233",22,6,43
"099250","005","425239",152,32,2348
"099252","005","425231",1,1,1
"099252","005","425232",87,1,225
"099252","005","425233",105,6,225
"099252","005","425239",690,48,8293
"099253","005","425239",43,2,140
"099253","005","425764",1,1,1
"099254","005","425232",39,1,1856
"099254","005","425233",55,5,444
"099254","005","425239",126,8,14202
"099254","005","425912",1,1,1
"099255","005","425232",11,1,27
